case_key,majority_opinion_label,dissent_opinion_label,cosine_similarity
a4,majority,dissent1,0.8737574
a6,majority,dissent1,0.8788444
a7,majority,dissent1,0.894938
a8,majority,dissent1,0.9368746
a9,majority,dissent1,0.8210467
a11,majority,dissent1,0.74507636
a12,majority,dissent1,0.5328642
a13,majority,dissent1,0.47653154
a18,majority,dissent1,0.77652633
a20,majority,dissent1,0.70987284
a21,majority,dissent1,0.80395746
a21,majority,dissent2,0.7213522
a22,majority,dissent1,0.6595017
a22,majority,dissent2,0.721416
a23,majority,dissent1,0.7854827
a26,majority,dissent1,0.7184533
a28,majority,dissent1,0.82085526
a29,majority,dissent1,0.56440437
a30,majority,dissent1,0.8666952
a31,majority,dissent1,0.79636955
a33,majority,dissent1,0.8166953
a34,majority,dissent1,0.71068156
a35,majority,dissent1,0.82086515
a36,majority,dissent1,0.68630636
a37,majority,dissent1,0.6571967
a38,majority,dissent1,0.8206916
a39,majority,dissent1,0.6742016
a41,majority,dissent1,0.8058991
a42,majority,dissent1,0.7883016
a44,majority,dissent1,0.79886687
a48,majority,dissent1,0.8653319
a49,majority,dissent1,0.8903686
a51,majority,dissent1,0.8011615
a52,majority,dissent1,0.75515217
a54,majority,dissent1,0.89579415
a55,majority,dissent1,0.7664507
a56,majority,dissent1,0.8381491
a59,majority,dissent1,0.83541775
a61,majority,dissent1,0.82044256
a63,majority,dissent1,0.8269379
a66,majority,dissent1,0.7749493
a67,majority,dissent1,0.5942421
a73,majority,dissent1,0.8292279
a74,majority,dissent1,0.66205263
a75,majority,dissent1,0.6547564
a79,majority,dissent1,0.8648616
a81,majority,dissent1,0.8322944
a82,majority,dissent1,0.7424296
a83,majority,dissent1,0.8945899
a85,majority,dissent1,0.8293613
a85,majority,dissent2,0.8035224
a86,majority,dissent1,0.8741288
a87,majority,dissent1,0.38682723
a91,majority,dissent1,0.7887721
a94,majority,dissent1,0.7403159
a95,majority,dissent1,0.82594
a96,majority,dissent1,0.6793222
a97,majority,dissent1,0.8083763
a98,majority,dissent1,0.74647397
a98,majority,dissent2,0.8013754
a99,majority,dissent1,0.60207665
a101,majority,dissent1,0.6879661
a103,majority,dissent1,0.8295888
a105,majority,dissent1,0.77243394
a105,majority,dissent2,0.8927437
a110,majority,dissent1,0.5386033
a115,majority,dissent1,0.7400187
a116,majority,dissent1,0.78339666
a117,majority,dissent1,0.69908553
a119,majority,dissent1,0.8782363
a123,majority,dissent1,0.7360916
a124,majority,dissent1,0.83030874
a126,majority,dissent1,0.7519656
a126,majority,dissent2,0.74982536
a128,majority,dissent1,0.87310517
a128,majority,dissent2,0.8372858
a128,majority,dissent3,0.7096635
a129,majority,dissent1,0.81768066
a130,majority,dissent1,0.88347167
a131,majority,dissent1,0.6778805
a131,majority,dissent2,0.85837495
a132,majority,dissent1,0.39185363
a133,majority,dissent1,0.74229383
a136,majority,dissent1,0.79608357
a137,majority,dissent1,0.4098411
a138,majority,dissent1,0.7044199
a139,majority,dissent1,0.79992664
a140,majority,dissent1,0.7015829
a141,majority,dissent1,0.79845154
a142,majority,dissent1,0.64137685
a143,majority,dissent1,0.83811283
a144,majority,dissent1,0.6300175
a144,majority,dissent2,0.62497246
a145,majority,dissent1,0.7294216
a147,majority,dissent1,0.71354157
a148,majority,dissent1,0.8601279
a149,majority,dissent1,0.65107393
a149,majority,dissent2,0.5662825
a151,majority,dissent1,0.74550474
a151,majority,dissent2,0.7930591
a152,majority,dissent1,0.5668448
a152,majority,dissent2,0.67030144
a153,majority,dissent1,0.7312681
a154,majority,dissent1,0.7445718
a154,majority,dissent2,0.7217467
a155,majority,dissent1,0.72179335
a156,majority,dissent1,0.6742766
a157,majority,dissent1,0.56139696
a157,majority,dissent2,0.7457278
a158,majority,dissent1,0.6301204
a160,majority,dissent1,0.7088483
a161,majority,dissent1,0.71012014
