key,row,case_key,case_name,case_name_abbreviation,decision_date,opinion_type,dissent_ind,majority_word_count,dissent_word_count,official citation,precedentAlteration,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,majVotes,minVotes,cossim_score,officialcitation,cb_score,eg_score,jm_score,st_score,sz_score,rs_score,score_mean,binaryRA,openai_score_0,openai_score_1,openai_score_2,openai_score_3,openai_score_4,openai_score_mean,deepseek_chat_score_0,deepseek_chat_score_1,deepseek_chat_score_2,deepseek_chat_score_3,deepseek_chat_score_4,deepseek_chat_score_mean,deepseek_reasoner_score_0,deepseek_reasoner_score_1,deepseek_reasoner_score_2,deepseek_reasoner_score_3,deepseek_reasoner_score_4,deepseek_reasoner_score_mean,anthropic_sonnet_score_0,anthropic_sonnet_score_1,anthropic_sonnet_score_2,anthropic_sonnet_score_3,anthropic_sonnet_score_4,anthropic_sonnet_score_mean,anthropic_opus_score_0,anthropic_opus_score_1,anthropic_opus_score_2,anthropic_opus_score_3,anthropic_opus_score_4,anthropic_opus_score_mean,kldiv_score,d2v_cossim_score,sbert_cossim_score,legalbert_cossim_score,d2v_cosdist_score,sbert_cosdist_score,legalbert_cosdist_score,bertopic_kldiv_score
High,2541,a3310,RAWLINGS v. KENTUCKY,Rawlings v. Kentucky,1980-06-25,dissent,1,3907,2445,448 U.S. 98,0.0,10050.0,1.0,1.0,0.0,2.0,7.0,2.0,0.6600516,448 U.S. 98,,,1.0,,,3.0,2.0,0,4,5,4,4,4,4.2,4,5,5,5,4,4.6,5,5,5,5,5,5.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,4.455203311890946,0.6600516,0.88401204,0.982333481311798,0.3399484,0.11598796,0.017666518688202,0.7931984872074545
High,1407,a1704,LINES v. FREDERICK et al.,Lines v. Frederick,1970-11-09,dissent,1,954,382,400 U.S. 18,0.0,80030.0,8.0,2.0,0.0,4.0,7.0,2.0,0.6909803,400 U.S. 18,,,,,3.0,1.0,2.0,0,3,3,2,2,3,2.6,4,3,2,2,2,2.6,4,3,3,3,4,3.4,4,4,4,4,4,4.0,2,2,2,3,2,2.2,3.422938300227684,0.6909803,0.77656436,0.9841630458831788,0.3090197,0.22343564,0.0158369541168211,0.0012496926047449
High,2312,a2963,UNITED STATES et al. v. LaSALLE NATIONAL BANK et al.,United States v. LaSalle National Bank,1978-06-19,dissent,1,6879,657,437 U.S. 298,0.0,10160.0,1.0,2.0,1.0,4.0,5.0,4.0,0.71203685,437 U.S. 298,,1.0,,,,2.0,1.5,0,4,4,4,4,4,4.0,5,5,5,5,4,4.8,5,4,4,4,4,4.2,4,4,4,4,4,4.0,2,2,2,4,2,2.4,4.766594849387039,0.71203685,0.9073169,0.98372483253479,0.2879631499999999,0.0926831,0.0162751674652099,0.1728520928982395
High,1950,a2434,"HUFFMAN et al. v. PURSUE, LTD.","Huffman v. Pursue, Ltd.",1975-03-18,dissent,1,6194,1798,420 U.S. 592,0.0,90060.0,9.0,1.0,0.0,7.0,6.0,3.0,0.50667953,420 U.S. 592,,,,1.0,,4.0,2.5,0,4,4,5,4,4,4.2,4,4,4,4,4,4.0,5,5,5,4,4,4.6,4,4,4,4,4,4.0,4,3,3,2,3,3.0,2.8907213339342546,0.50667953,0.9086584,0.9873653650283812,0.49332047,0.0913416,0.0126346349716187,0.1261714565860294
High,1979,a2484,TWENTIETH CENTURY MUSIC CORP. et al. v. AIKEN,Twentieth Century Music Corp. v. Aiken,1975-06-17,dissent,1,3882,914,422 U.S. 151,0.0,80190.0,8.0,2.0,0.0,4.0,7.0,2.0,0.80492485,422 U.S. 151,2.0,,,,,4.0,3.0,1,4,4,4,4,4,4.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,4,4,4,4,4,4.0,2,2,2,2,2,2.0,2.872045888083241,0.80492485,0.90357465,0.981160283088684,0.1950751499999999,0.0964253499999999,0.018839716911316,0.0422828332670103
High,2350,a3013,DUREN v. MISSOURI,Duren v. Missouri,1979-01-09,dissent,1,3963,2633,439 U.S. 357,1.0,20130.0,2.0,2.0,0.0,2.0,8.0,1.0,0.77756166,439 U.S. 357,,,,,3.0,1.0,2.0,0,4,3,3,3,4,3.4,5,4,4,4,4,4.2,4,4,4,4,4,4.0,4,4,4,4,4,4.0,2,4,2,2,4,2.8,2.901625487583609,0.77756166,0.9195642,0.985864758491516,0.2224383399999999,0.0804357999999999,0.0141352415084839,1.37373910713542
High,65,a117,"MAINE COMMUNITY HEALTH OPTIONS, Petitioner v. UNITED STATES; Moda Health Plan, Inc., Petitioner v. United States; Blue Cross and Blue Shield of North Carolina, Petitioner v. United States; Land of Lincoln Mutual Health Insurance Company, an Illinois Nonprofit Mutual Insurance Corporation, Petitioner v. United States",Me. Cmty. Health Options v. United States,2020-04-27,dissent,1,9484,3053,140 S. Ct. 1308,0.0,80060.0,8.0,1.0,0.0,4.0,8.0,1.0,0.69908553,140 S. Ct. 1308,,,5.0,,4.0,,4.5,1,4,4,4,4,3,3.8,2,2,2,2,4,2.4,5,4,4,4,3,4.0,4,4,4,4,4,4.0,4,2,4,4,4,3.6,2.7558728192596043,0.69908553,0.860687,0.9889395236968994,0.30091447,0.139313,0.0110604763031005,0.4313918333199583
High,465,a534,LAMBERT v. CALIFORNIA,Lambert v. California,1957-12-16,dissent,1,1312,678,355 U.S. 225,0.0,40020.0,4.0,2.0,0.0,2.0,5.0,4.0,0.616407,355 U.S. 225,,1.0,,,2.0,,1.5,0,4,4,4,4,4,4.0,4,4,5,4,4,4.2,4,4,4,4,4,4.0,4,4,4,4,4,4.0,2,2,2,2,2,2.0,3.3848675071413736,0.616407,0.8075571,0.9851799607276917,0.3835929999999999,0.1924428999999999,0.0148200392723083,0.3327257657366457
High,1969,a2461,FRY ET AL. v. UNITED STATES,Fry v. United States,1975-05-27,dissent,1,1694,3379,421 U.S. 542,0.0,100120.0,10.0,2.0,0.0,2.0,7.0,1.0,0.6122893,421 U.S. 542,,,,2.0,1.0,,1.5,0,5,5,4,4,5,4.6,4,5,4,4,4,4.2,5,5,5,5,5,5.0,4,4,4,4,4,4.0,2,3,3,2,3,2.6,3.739477662618644,0.6122893,0.88150144,0.9829015731811525,0.3877106999999999,0.11849856,0.0170984268188475,0.7884034391364587
High,4319,a6725,"GISBRECHT et al. v. BARNHART, COMMISSIONER OF SOCIAL SECURITY",Gisbrecht v. Barnhart,2002-05-28,dissent,1,5884,1312,535 U.S. 789,0.0,60010.0,6.0,2.0,0.0,4.0,8.0,1.0,0.5984776,535 U.S. 789,1.0,,,,1.0,,1.0,0,5,5,4,4,5,4.6,4,5,5,4,5,4.6,4,4,5,4,4,4.2,4,4,4,4,4,4.0,2,2,2,2,2,2.0,2.9076146323895995,0.5984776,0.9010442,0.9785186648368835,0.4015223999999999,0.0989558,0.0214813351631164,0.0069727106483112
