index,case_key,opinion_label
0,a4,majority
1,a4,dissent1
2,a6,majority
3,a6,dissent1
4,a7,majority
5,a7,dissent1
6,a8,majority
7,a8,dissent1
8,a9,majority
9,a9,dissent1
10,a11,majority
11,a11,dissent1
12,a12,majority
13,a12,dissent1
14,a13,majority
15,a13,dissent1
16,a18,majority
17,a18,dissent1
18,a20,majority
19,a20,dissent1
20,a21,majority
21,a21,dissent1
22,a21,majority
23,a21,dissent2
24,a22,majority
25,a22,dissent1
26,a22,majority
27,a22,dissent2
28,a23,majority
29,a23,dissent1
30,a26,majority
31,a26,dissent1
32,a28,majority
33,a28,dissent1
34,a29,majority
35,a29,dissent1
36,a30,majority
37,a30,dissent1
38,a31,majority
39,a31,dissent1
40,a33,majority
41,a33,dissent1
42,a34,majority
43,a34,dissent1
44,a35,majority
45,a35,dissent1
46,a36,majority
47,a36,dissent1
48,a37,majority
49,a37,dissent1
50,a38,majority
51,a38,dissent1
52,a39,majority
53,a39,dissent1
54,a41,majority
55,a41,dissent1
56,a42,majority
57,a42,dissent1
58,a44,majority
59,a44,dissent1
60,a48,majority
61,a48,dissent1
62,a49,majority
63,a49,dissent1
64,a51,majority
65,a51,dissent1
66,a52,majority
67,a52,dissent1
68,a54,majority
69,a54,dissent1
70,a55,majority
71,a55,dissent1
72,a56,majority
73,a56,dissent1
74,a59,majority
75,a59,dissent1
76,a61,majority
77,a61,dissent1
78,a63,majority
79,a63,dissent1
80,a66,majority
81,a66,dissent1
82,a67,majority
83,a67,dissent1
84,a73,majority
85,a73,dissent1
86,a74,majority
87,a74,dissent1
88,a75,majority
89,a75,dissent1
90,a79,majority
91,a79,dissent1
92,a81,majority
93,a81,dissent1
94,a82,majority
95,a82,dissent1
96,a83,majority
97,a83,dissent1
98,a85,majority
99,a85,dissent1
100,a85,majority
101,a85,dissent2
102,a86,majority
103,a86,dissent1
104,a87,majority
105,a87,dissent1
106,a91,majority
107,a91,dissent1
108,a94,majority
109,a94,dissent1
110,a95,majority
111,a95,dissent1
112,a96,majority
113,a96,dissent1
114,a97,majority
115,a97,dissent1
116,a98,majority
117,a98,dissent1
118,a98,majority
119,a98,dissent2
120,a99,majority
121,a99,dissent1
122,a101,majority
123,a101,dissent1
124,a103,majority
125,a103,dissent1
126,a105,majority
127,a105,dissent1
128,a105,majority
129,a105,dissent2
130,a110,majority
131,a110,dissent1
132,a115,majority
133,a115,dissent1
134,a116,majority
135,a116,dissent1
136,a117,majority
137,a117,dissent1
138,a119,majority
139,a119,dissent1
140,a123,majority
141,a123,dissent1
142,a124,majority
143,a124,dissent1
144,a126,majority
145,a126,dissent1
146,a126,majority
147,a126,dissent2
148,a128,majority
149,a128,dissent1
150,a128,majority
151,a128,dissent2
152,a128,majority
153,a128,dissent3
154,a129,majority
155,a129,dissent1
156,a130,majority
157,a130,dissent1
158,a131,majority
159,a131,dissent1
160,a131,majority
161,a131,dissent2
162,a132,majority
163,a132,dissent1
164,a133,majority
165,a133,dissent1
166,a136,majority
167,a136,dissent1
168,a137,majority
169,a137,dissent1
170,a138,majority
171,a138,dissent1
172,a139,majority
173,a139,dissent1
174,a140,majority
175,a140,dissent1
176,a141,majority
177,a141,dissent1
178,a142,majority
179,a142,dissent1
180,a143,majority
181,a143,dissent1
182,a144,majority
183,a144,dissent1
184,a144,majority
185,a144,dissent2
186,a145,majority
187,a145,dissent1
188,a147,majority
189,a147,dissent1
190,a148,majority
191,a148,dissent1
192,a149,majority
193,a149,dissent1
194,a149,majority
195,a149,dissent2
196,a151,majority
197,a151,dissent1
198,a151,majority
199,a151,dissent2
200,a152,majority
201,a152,dissent1
202,a152,majority
203,a152,dissent2
204,a153,majority
205,a153,dissent1
206,a154,majority
207,a154,dissent1
208,a154,majority
209,a154,dissent2
210,a155,majority
211,a155,dissent1
212,a156,majority
213,a156,dissent1
214,a157,majority
215,a157,dissent1
216,a157,majority
217,a157,dissent2
218,a158,majority
219,a158,dissent1
220,a160,majority
221,a160,dissent1
222,a161,majority
223,a161,dissent1
224,a162,majority
225,a162,dissent1
226,a162,majority
227,a162,dissent2
228,a163,majority
229,a163,dissent1
230,a163,majority
231,a163,dissent2
232,a164,majority
233,a164,dissent1
234,a165,majority
235,a165,dissent1
