case_key,majority_opinion_label,dissent_opinion_label,cosine_similarity
a4,majority,dissent1,0.995211660861969
a6,majority,dissent1,0.9975275993347168
a7,majority,dissent1,0.996094822883606
a8,majority,dissent1,0.9968129396438599
a9,majority,dissent1,0.9933426976203918
a11,majority,dissent1,0.9937616586685181
a12,majority,dissent1,0.9824563264846802
a13,majority,dissent1,0.9632728695869446
a18,majority,dissent1,0.9932227730751038
a20,majority,dissent1,0.9845399856567383
a21,majority,dissent1,0.995947003364563
a21,majority,dissent2,0.9907553195953369
a22,majority,dissent1,0.9900330901145935
a22,majority,dissent2,0.9813005328178406
a23,majority,dissent1,0.993742823600769
a26,majority,dissent1,0.9869678616523743
a28,majority,dissent1,0.9958859086036682
a29,majority,dissent1,0.9712393879890442
a30,majority,dissent1,0.9950878620147705
a31,majority,dissent1,0.9965419769287109
a33,majority,dissent1,0.9933544397354126
a34,majority,dissent1,0.992621898651123
a35,majority,dissent1,0.9905341863632202
a36,majority,dissent1,0.988405168056488
a37,majority,dissent1,0.9674313068389893
a38,majority,dissent1,0.9930798411369324
a39,majority,dissent1,0.9946420192718506
a41,majority,dissent1,0.9900485277175903
a42,majority,dissent1,0.9954468607902527
a44,majority,dissent1,0.9949955940246582
a48,majority,dissent1,0.9953987002372742
a49,majority,dissent1,0.996901273727417
a51,majority,dissent1,0.9919098615646362
a52,majority,dissent1,0.9895540475845337
a54,majority,dissent1,0.9950873851776123
a55,majority,dissent1,0.9867675304412842
a56,majority,dissent1,0.9962091445922852
a59,majority,dissent1,0.9966707229614258
a61,majority,dissent1,0.9961631894111633
a63,majority,dissent1,0.9947150349617004
a66,majority,dissent1,0.9928004145622253
a67,majority,dissent1,0.9360795021057129
a73,majority,dissent1,0.9927441477775574
a74,majority,dissent1,0.9709203243255615
a75,majority,dissent1,0.981203556060791
a79,majority,dissent1,0.9941728711128235
a81,majority,dissent1,0.9940036535263062
a82,majority,dissent1,0.986375093460083
a83,majority,dissent1,0.994130551815033
a85,majority,dissent1,0.9941872358322144
a85,majority,dissent2,0.9900964498519897
a86,majority,dissent1,0.9955050945281982
