case_key,majority_opinion_label,dissent_opinion_label,cosine_similarity
a4,majority,dissent1,0.960706353187561
a6,majority,dissent1,0.9635757803916931
a7,majority,dissent1,0.9690449833869934
a8,majority,dissent1,0.9714560508728027
a9,majority,dissent1,0.9223384261131287
a11,majority,dissent1,0.9504972696304321
a12,majority,dissent1,0.8074204325675964
a13,majority,dissent1,0.7138378620147705
a18,majority,dissent1,0.9413032531738281
a20,majority,dissent1,0.8828139901161194
a21,majority,dissent1,0.9551395177841187
a21,majority,dissent2,0.9384183883666992
a22,majority,dissent1,0.898669958114624
a22,majority,dissent2,0.8636825680732727
a23,majority,dissent1,0.9260586500167847
a26,majority,dissent1,0.8994890451431274
a28,majority,dissent1,0.9537612199783325
a29,majority,dissent1,0.8196461796760559
a30,majority,dissent1,0.9759336113929749
a31,majority,dissent1,0.9548660516738892
a33,majority,dissent1,0.9538065195083618
a34,majority,dissent1,0.919941246509552
a35,majority,dissent1,0.9541492462158203
a36,majority,dissent1,0.9093282222747803
a37,majority,dissent1,0.8428236842155457
a38,majority,dissent1,0.9483011960983276
a39,majority,dissent1,0.909940779209137
a41,majority,dissent1,0.9403611421585083
a42,majority,dissent1,0.9616599082946777
a44,majority,dissent1,0.9403959512710571
a48,majority,dissent1,0.9751381278038025
a49,majority,dissent1,0.9698700904846191
a51,majority,dissent1,0.9502159953117371
a52,majority,dissent1,0.9394693970680237
a54,majority,dissent1,0.9531161189079285
a55,majority,dissent1,0.8778032660484314
a56,majority,dissent1,0.9735618233680725
a59,majority,dissent1,0.9738128781318665
a61,majority,dissent1,0.9588599801063538
a63,majority,dissent1,0.9474343061447144
a66,majority,dissent1,0.9185038805007935
a67,majority,dissent1,0.7768970727920532
a73,majority,dissent1,0.9552158117294312
a74,majority,dissent1,0.8306267261505127
a75,majority,dissent1,0.7831384539604187
a79,majority,dissent1,0.9538739323616028
a81,majority,dissent1,0.9340692758560181
a82,majority,dissent1,0.8933940529823303
a83,majority,dissent1,0.9604735374450684
a85,majority,dissent1,0.9129979610443115
a85,majority,dissent2,0.8966715335845947
a86,majority,dissent1,0.9666957259178162
a87,majority,dissent1,0.4381561279296875
a91,majority,dissent1,0.9192023873329163
a94,majority,dissent1,0.8487832546234131
a95,majority,dissent1,0.9467396140098572
a96,majority,dissent1,0.8925513625144958
a97,majority,dissent1,0.9359480142593384
a98,majority,dissent1,0.8981103897094727
a98,majority,dissent2,0.9730467796325684
a99,majority,dissent1,0.7878791689872742
a101,majority,dissent1,0.9377281069755554
a103,majority,dissent1,0.9654383659362793
a105,majority,dissent1,0.9241929054260254
a105,majority,dissent2,0.9574207663536072
a110,majority,dissent1,0.7626059651374817
a115,majority,dissent1,0.9154840707778931
a116,majority,dissent1,0.953392744064331
a117,majority,dissent1,0.8606870174407959
a119,majority,dissent1,0.9713709354400635
a123,majority,dissent1,0.9436713457107544
a124,majority,dissent1,0.9484249353408813
a126,majority,dissent1,0.868914008140564
a126,majority,dissent2,0.8810720443725586
a128,majority,dissent1,0.9716975688934326
a128,majority,dissent2,0.9513568878173828
a128,majority,dissent3,0.9292649626731873
a129,majority,dissent1,0.9664032459259033
a130,majority,dissent1,0.9603171944618225
a131,majority,dissent1,0.9203504323959351
a131,majority,dissent2,0.9697853922843933
a132,majority,dissent1,0.7809289693832397
a133,majority,dissent1,0.9161689281463623
a136,majority,dissent1,0.942609965801239
a137,majority,dissent1,0.4540081024169922
a138,majority,dissent1,0.8759440779685974
a139,majority,dissent1,0.9525774121284485
a140,majority,dissent1,0.9342535138130188
a141,majority,dissent1,0.9369924068450928
a142,majority,dissent1,0.7359449863433838
a143,majority,dissent1,0.9434465169906616
a144,majority,dissent1,0.7598374485969543
a144,majority,dissent2,0.8755948543548584
a145,majority,dissent1,0.9254225492477417
a147,majority,dissent1,0.842146635055542
a148,majority,dissent1,0.9588468074798584
a149,majority,dissent1,0.8090997934341431
a149,majority,dissent2,0.7571946382522583
a151,majority,dissent1,0.8810964822769165
a151,majority,dissent2,0.9211677312850952
a152,majority,dissent1,0.7554627060890198
a152,majority,dissent2,0.7657999992370605
a153,majority,dissent1,0.9456641674041748
a154,majority,dissent1,0.914782702922821
a154,majority,dissent2,0.8049015998840332
a155,majority,dissent1,0.8291206359863281
a156,majority,dissent1,0.8478763103485107
a157,majority,dissent1,0.7550082206726074
a157,majority,dissent2,0.911737322807312
a158,majority,dissent1,0.8215124607086182
a160,majority,dissent1,0.832743763923645
a161,majority,dissent1,0.9519913196563721
a162,majority,dissent1,0.7061732411384583
a162,majority,dissent2,0.7928147315979004
a163,majority,dissent1,0.8876011371612549
a163,majority,dissent2,0.4748760461807251
a164,majority,dissent1,0.7912843823432922
a165,majority,dissent1,0.9271671772003174
a166,majority,dissent1,0.929970383644104
a168,majority,dissent1,0.8407856225967407
a169,majority,dissent1,0.8852514028549194
a170,majority,dissent1,0.6391724348068237
a171,majority,dissent1,0.8503991961479187
a173,majority,dissent1,0.943301796913147
a175,majority,dissent1,0.869373083114624
a177,majority,dissent1,0.8686023354530334
a178,majority,dissent1,0.6309471726417542
a178,majority,dissent2,0.6307010054588318
a180,majority,dissent1,0.8510445356369019
a181,majority,dissent1,0.8250561952590942
a182,majority,dissent1,0.7277271747589111
a183,majority,dissent1,0.9208118319511414
a184,majority,dissent1,0.6361128091812134
a184,majority,dissent2,0.9213635325431824
a184,majority,dissent3,0.7385517358779907
a185,majority,dissent1,0.9348610639572144
a185,majority,dissent2,0.9568289518356323
a185,majority,dissent3,0.7835065722465515
a185,majority,dissent4,0.67397141456604
a186,majority,dissent1,0.8531076908111572
a187,majority,dissent1,0.8676436543464661
a191,majority,dissent1,0.9098218083381653
a191,majority,dissent2,0.8847196102142334
a191,majority,dissent3,0.7771137356758118
a192,majority,dissent1,0.9415034651756287
a193,majority,dissent1,0.797360897064209
a194,majority,dissent1,0.8554487824440002
a195,majority,dissent1,0.7364178895950317
a196,majority,dissent1,0.9032928943634033
a197,majority,dissent1,0.7884347438812256
a197,majority,dissent2,0.8889257907867432
a198,majority,dissent1,0.9020964503288269
a198,majority,dissent2,0.8282210826873779
a199,majority,dissent1,0.8860506415367126
a200,majority,dissent1,0.9192725419998169
a201,majority,dissent1,0.9249008893966675
a201,majority,dissent2,0.9172053933143616
a201,majority,dissent3,0.7919605374336243
a201,majority,dissent4,0.940822958946228
a202,majority,dissent1,0.9044510126113892
a202,majority,dissent2,0.9106495380401611
a202,majority,dissent3,0.8697236776351929
a203,majority,dissent1,0.7070626020431519
a204,majority,dissent1,0.8706272840499878
a204,majority,dissent2,0.7976341247558594
a205,majority,dissent1,0.9198561906814575
a206,majority,dissent1,0.905046820640564
a207,majority,dissent1,0.9515886306762695
a208,majority,dissent1,0.7786772847175598
a209,majority,dissent1,0.8822240829467773
a212,majority,dissent1,0.943157434463501
a213,majority,dissent1,0.8747468590736389
a214,majority,dissent1,0.794018030166626
a214,majority,dissent2,0.8298639059066772
a214,majority,dissent3,0.9245644211769104
a215,majority,dissent1,0.9204704761505127
a216,majority,dissent1,0.9201900959014893
a223,majority,dissent1,0.6870428323745728
a223,majority,dissent2,0.8265055418014526
a224,majority,dissent1,0.8234583735466003
a225,majority,dissent1,0.8617295622825623
a225,majority,dissent2,0.8360995054244995
a226,majority,dissent1,0.9233655333518982
a226,majority,dissent2,0.663943886756897
a227,majority,dissent1,0.8380564451217651
a228,majority,dissent1,0.697952926158905
a229,majority,dissent1,0.8805644512176514
a230,majority,dissent1,0.9033331871032715
a232,majority,dissent1,0.8574548959732056
a234,majority,dissent1,0.89708411693573
a237,majority,dissent1,0.7456125617027283
a238,majority,dissent1,0.9109011888504028
a238,majority,dissent2,0.6216063499450684
a239,majority,dissent1,0.8463337421417236
a241,majority,dissent1,0.9074711203575134
a242,majority,dissent1,0.9399590492248535
a243,majority,dissent1,0.8586727380752563
a245,majority,dissent1,0.8254703283309937
a246,majority,dissent1,0.810454249382019
a246,majority,dissent2,0.911889910697937
a248,majority,dissent1,0.8093788623809814
a249,majority,dissent1,0.9187561869621277
a250,majority,dissent1,0.7770723700523376
a251,majority,dissent1,0.9415731430053711
a251,majority,dissent2,0.7459138035774231
