case_key,majority_opinion_label,dissent_opinion_label,kl_divergence
a4,majority,dissent1,0.7733903429686978
a6,majority,dissent1,0.9937956791781795
a7,majority,dissent1,0.37076556945410105
a8,majority,dissent1,0.1865424568952123
a9,majority,dissent1,0.6930685615133518
a11,majority,dissent1,0.5924599812199485
a12,majority,dissent1,1.4881242589101245
a13,majority,dissent1,5.278043867698676
a18,majority,dissent1,1.8657980964008714
a20,majority,dissent1,0.7338244661285953
a21,majority,dissent1,0.9588892593731372
a21,majority,dissent2,1.0560412874964902
a22,majority,dissent1,1.7694212022927278
a22,majority,dissent2,1.3370679467484579
a23,majority,dissent1,1.5785807170652684
a26,majority,dissent1,0.5189147423426873
a28,majority,dissent1,0.7158847617927777
a29,majority,dissent1,2.921056425235122
a30,majority,dissent1,0.7284544326910398
a31,majority,dissent1,0.7914519266226858
a33,majority,dissent1,0.6865709588149294
a34,majority,dissent1,0.5228770190233486
a35,majority,dissent1,0.2386976801475269
a36,majority,dissent1,2.521017101768475
a37,majority,dissent1,2.693894609528421
a38,majority,dissent1,2.3101416714176177
a39,majority,dissent1,2.8705883989358294
a41,majority,dissent1,2.4451698064951337
a42,majority,dissent1,0.9948970039411126
a44,majority,dissent1,1.403643927295691
a48,majority,dissent1,1.340840730149521
a49,majority,dissent1,0.506388700337535
a51,majority,dissent1,0.7884473427643488
a52,majority,dissent1,1.624800506634262
a54,majority,dissent1,0.33185146133760224
a55,majority,dissent1,0.6875801704446558
a56,majority,dissent1,0.775110810409503
a59,majority,dissent1,0.563481756077939
a61,majority,dissent1,1.9003059690330106
a63,majority,dissent1,1.837354825282853
a66,majority,dissent1,2.2720769841742863
a67,majority,dissent1,2.044037295928291
a73,majority,dissent1,0.2382545681715821
a74,majority,dissent1,1.687752810801608
a75,majority,dissent1,3.6611078513252147
a79,majority,dissent1,0.4093303750666806
a81,majority,dissent1,1.7337146293816568
a82,majority,dissent1,1.7534696151868607
a83,majority,dissent1,0.18419866627195247
a85,majority,dissent1,1.043839199309265
a85,majority,dissent2,1.0125778778782624
a86,majority,dissent1,0.7583679970150887
a87,majority,dissent1,5.395830870617686
a91,majority,dissent1,0.9221217423884724
a94,majority,dissent1,1.5539139940847044
a95,majority,dissent1,0.8003892958049899
a96,majority,dissent1,2.929220886249778
a97,majority,dissent1,1.3474428425257694
a98,majority,dissent1,1.0954175649810483
a98,majority,dissent2,0.42378585512557776
a99,majority,dissent1,5.21388042961092
a101,majority,dissent1,0.8834598387261873
a103,majority,dissent1,1.0785378786719504
a105,majority,dissent1,0.8379259275481545
a105,majority,dissent2,0.27737546197423374
a110,majority,dissent1,2.485089212265664
a115,majority,dissent1,1.0940746477899457
a116,majority,dissent1,1.194195816180617
a117,majority,dissent1,2.7558728192596043
a119,majority,dissent1,0.26862753406724676
a123,majority,dissent1,0.968355253757496
a124,majority,dissent1,1.7103932317382884
a126,majority,dissent1,1.8382917830208205
a126,majority,dissent2,1.5793903066717907
a128,majority,dissent1,0.501066018536612
a128,majority,dissent2,0.7984445344854956
a128,majority,dissent3,0.8966108185632996
a129,majority,dissent1,0.997385759672798
a130,majority,dissent1,0.5960660502955992
a131,majority,dissent1,2.351432103267201
a131,majority,dissent2,0.5865371038944023
a132,majority,dissent1,2.1877854007693367
a133,majority,dissent1,1.4654466943751676
a136,majority,dissent1,0.5807114254647665
a137,majority,dissent1,4.521166764357661
a138,majority,dissent1,2.7405151030149373
a139,majority,dissent1,1.0374724770664625
a140,majority,dissent1,1.3985307215296363
a141,majority,dissent1,1.2562107172439148
